"1-Stage:stage_duration","1-Stage:stage_update_count","2-Stage:stage_duration","2-Stage:stage_update_count","3-Stage:stage_duration","3-Stage:stage_update_count","4-Stage:stage_duration","4-Stage:stage_update_count","5-Stage:stage_duration","5-Stage:stage_update_count","Amount","Amount_count","CloseDate","CloseDate_count","Competition","Competition_count","ForecastCategoryName","ForecastCategoryName_count","Incremental_from_Partner","Incremental_from_Partner_count","Lead_Conversion_Notes","Lead_Conversion_Notes_count","Meeting_Completed_Date","Meeting_Completed_Date_count","Owner","Owner_count","Region","Region_count","Scheduled_Meeting_Date","Scheduled_Meeting_Date_count","Solution_Category","Solution_Category_count","Who_Won_the_Deal","Who_Won_the_Deal_count","Why_Closed_Lost","Why_Closed_Lost_count","created","created_count","opportunityCreatedFromLead","opportunityCreatedFromLead_count","outcome"
"36.0","3.0","0.0","0.0","0.0","0.0","88.0","6.0","0.0","0.0","7000.0","3.0","2013-11-08","3.0","No","0.0","Closed","2.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","2"
"3.0","4.0","0.0","0.0","0.0","0.0","51.0","3.0","0.0","0.0","0.0","0.0","2013-11-01","4.0","No","0.0","Closed","4.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","null","2.0","No","0.0","2"
"8.0","4.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","5.0","10890.43","2.0","2014-04-02","2.0","No","0.0","Closed","4.0","No","0.0","null","2.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","null","2.0","No","0.0","2"
"0.0","3.0","0.0","0.0","0.0","0.0","82.0","8.0","0.0","0.0","40000.0","3.0","2013-09-13","9.0","No","0.0","Closed","9.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","2"
"84.0","8.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","7.0","44832.0","8.0","2014-02-07","8.0","No","0.0","Closed","8.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","null","4.0","No","0.0","2"
"5.0","16.0","0.0","0.0","0.0","0.0","24.0","2.0","0.0","0.0","105340.0","12.0","No","0.0","No","0.0","Omitted","8.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","null","4.0","No","0.0","4"
"178.0","73.0","2.0","4.0","0.0","0.0","0.0","0.0","0.0","0.0","310020.0","27.0","2014-02-11","27.0","null","9.0","Omitted","36.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","Customer Internal Politics","9.0","null","9.0","No","0.0","3"
"49.0","25.0","0.0","0.0","0.0","0.0","1.0","9.0","0.0","0.0","22000.0","12.0","2013-10-01","18.0","No","0.0","Closed","12.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","null","6.0","No","0.0","2"
"0.0","0.0","0.0","0.0","36.0","2.0","0.0","0.0","7.0","18.0","58026.82","28.0","2014-01-23","28.0","null","14.0","Closed","14.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","2"
"55.0","8.0","0.0","0.0","0.0","0.0","0.0","0.0","46.0","5.0","104997.37","5.0","2013-11-22","7.0","No","0.0","Closed","2.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","2"
"7.0","6.0","0.0","0.0","0.0","0.0","0.0","0.0","18.0","8.0","0.0","0.0","2013-08-07","12.0","No","0.0","Closed","12.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","null","6.0","No","0.0","2"
"13.0","6.0","0.0","0.0","42.0","12.0","0.0","0.0","12.0","8.0","320000.0","6.0","2013-12-13","9.0","No","0.0","Closed","9.0","No","0.0","No","0.0","No","0.0","00540000001XULTAA4","6.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","2"
"10.0","3.0","27.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","15000.0","2.0","2014-03-31","4.0","No","0.0","No","0.0","Yes","2.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","null","2.0","No","0.0","2"
"23.0","1.0","0.0","0.0","159.0","5.0","0.0","0.0","0.0","0.0","0.0","0.0","2014-02-04","3.0","No","0.0","Best Case","1.0","No","1.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","4"
"6.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0","7.0","1.0","20000.0","1.0","No","0.0","No","0.0","Closed","2.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","null","1.0","No","0.0","2"
"0.0","3.0","0.0","0.0","0.0","2.0","151.0","42.0","2.0","2.0","3300000.0","28.0","2014-01-31","24.0","No","0.0","Closed","20.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","null","4.0","No","0.0","No","0.0","No","0.0","No","0.0","2"
"51.0","36.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","4.0","15659.82","24.0","2013-10-01","9.0","No","0.0","Closed","6.0","No","0.0","No","0.0","No","0.0","00540000001xWuGAAU","6.0","US-North Central","3.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","2"
"0.0","1.0","0.0","0.0","3.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","2013-07-22","9.0","No","0.0","Omitted","18.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","4"
"79.0","36.0","0.0","0.0","0.0","0.0","56.0","145.0","3.0","2.0","170000.0","27.0","2013-12-04","99.0","No","0.0","Closed","45.0","No","0.0","null","9.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","null","9.0","No","0.0","2"
"0.0","1.0","0.0","0.0","0.0","0.0","95.0","28.0","0.0","0.0","80466.85","15.0","2013-12-12","15.0","No","0.0","Closed","10.0","No","0.0","No","0.0","No","0.0","John Darke","10.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","2"
"0.0","7.0","0.0","0.0","0.0","0.0","59.0","10.0","7.0","13.0","1400000.0","12.0","2014-01-31","12.0","No","0.0","Closed","16.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","null","4.0","No","0.0","2"
"0.0","1.0","0.0","0.0","177.0","7.0","0.0","0.0","0.0","0.0","0.0","0.0","2014-03-19","4.0","No","0.0","Omitted","2.0","No","1.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","4"
"0.0","2.0","0.0","0.0","0.0","0.0","75.0","2.0","0.0","0.0","0.0","0.0","2013-12-19","3.0","No","0.0","Closed","2.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","2"
"0.0","3.0","0.0","0.0","0.0","0.0","7.0","1.0","0.0","0.0","1800000.0","4.0","2013-07-31","2.0","No","0.0","Closed","4.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","2"
"73.0","2.0","57.0","5.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2013-12-31","1.0","No","0.0","Omitted","3.0","No","1.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","null","1.0","No","0.0","4"
"15.0","16.0","0.0","0.0","0.0","0.0","0.0","0.0","7.0","6.0","70105.2","4.0","2014-02-19","4.0","No","0.0","Closed","8.0","No","0.0","null","8.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","null","8.0","null","4.0","No","0.0","2"
"6.0","13.0","0.0","0.0","0.0","0.0","44.0","27.0","0.0","0.0","100000.0","12.0","2013-09-06","36.0","No","0.0","Closed","24.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","2"
"40.0","10.0","0.0","0.0","0.0","0.0","2.0","2.0","103.0","12.0","30655.0","4.0","2014-01-03","36.0","No","0.0","Closed","20.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","2"
"99.0","19.0","0.0","0.0","0.0","0.0","96.0","13.0","0.0","0.0","257920.0","8.0","2014-01-26","24.0","No","0.0","Closed","8.0","No","4.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","null","4.0","No","0.0","2"
"59.0","16.0","0.0","0.0","0.0","0.0","19.0","11.0","0.0","0.0","22035.25","35.0","2014-03-31","45.0","No","0.0","Closed","10.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","2"
"54.0","7.0","0.0","0.0","0.0","0.0","24.0","5.0","34.0","6.0","95000.0","4.0","2014-03-31","12.0","No","0.0","Closed","12.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","null","4.0","No","0.0","2"
"1.0","57.0","0.0","0.0","0.0","0.0","30.0","45.0","0.0","0.0","4962.0","56.0","2013-11-18","42.0","No","0.0","Closed","28.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","null","14.0","No","0.0","2"
"38.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0","45.0","6.0","33000.0","2.0","2013-11-22","6.0","No","0.0","Closed","1.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","2"
"3.0","6.0","0.0","0.0","0.0","0.0","89.0","9.0","0.0","0.0","21660.25","5.0","2013-10-09","7.0","No","0.0","Closed","2.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","null","1.0","No","0.0","2"
"24.0","4.0","0.0","0.0","0.0","0.0","14.0","1.0","2.0","2.0","125740.0","1.0","2014-01-24","2.0","No","0.0","Closed","3.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","null","1.0","No","0.0","2"
"52.0","2.0","158.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2014-04-15","1.0","No","0.0","No","0.0","No","1.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","null","1.0","No","0.0","4"
"0.0","5.0","0.0","0.0","0.0","0.0","3.0","3.0","0.0","0.0","6500.0","2.0","2014-01-13","4.0","No","0.0","Closed","4.0","No","2.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","null","2.0","No","0.0","2"
"69.0","8.0","0.0","0.0","56.0","36.0","14.0","14.0","11.0","4.0","216653.01","42.0","2014-02-14","6.0","No","0.0","Closed","6.0","No","0.0","null","6.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","null","2.0","No","0.0","2"
