"1-Stage:stage_duration","1-Stage:stage_update_count","2-Stage:stage_duration","2-Stage:stage_update_count","3-Stage:stage_duration","3-Stage:stage_update_count","4-Stage:stage_duration","4-Stage:stage_update_count","5-Stage:stage_duration","5-Stage:stage_update_count","outcome"
"225.0","55.0","0.0","0.0","0.0","0.0","0.0","1.0","30.0","10.0","2"
"309.0","9.0","7.0","5.0","13.0","2.0","0.0","0.0","10.0","5.0","2"
"41.0","28.0","38.0","10.0","0.0","0.0","0.0","0.0","0.0","0.0","3"
"266.0","66.0","0.0","0.0","0.0","4.0","0.0","0.0","31.0","2.0","2"
"50.0","8.0","0.0","0.0","0.0","0.0","0.0","0.0","21.0","6.0","2"
"0.0","5.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2"
"26.0","13.0","0.0","0.0","39.0","2.0","0.0","0.0","0.0","0.0","4"
"0.0","37.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2"
"18.0","37.0","0.0","0.0","0.0","0.0","216.0","31.0","0.0","0.0","4"
"827.0","59.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4"
"125.0","3.0","238.0","8.0","0.0","0.0","0.0","0.0","0.0","0.0","4"
"7.0","9.0","0.0","0.0","26.0","9.0","0.0","0.0","0.0","2.0","2"
"0.0","4.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2"
"0.0","12.0","0.0","0.0","0.0","0.0","169.0","31.0","0.0","0.0","4"
"41.0","12.0","0.0","0.0","29.0","13.0","62.0","11.0","0.0","0.0","2"
"37.0","3.0","0.0","0.0","0.0","0.0","42.0","18.0","0.0","0.0","2"
"29.0","9.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2"
"6.0","4.0","0.0","0.0","0.0","0.0","15.0","3.0","6.0","2.0","2"
"16.0","9.0","0.0","0.0","0.0","0.0","48.0","15.0","0.0","0.0","2"
"0.0","10.0","0.0","0.0","0.0","3.0","13.0","2.0","0.0","0.0","2"
"13.0","5.0","0.0","0.0","0.0","0.0","0.0","0.0","12.0","5.0","2"
"0.0","16.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2"
"280.0","80.0","0.0","0.0","0.0","0.0","39.0","42.0","0.0","0.0","2"
"6.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0","12.0","3.0","2"
"35.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2"
"0.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2"
"0.0","16.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2"
"31.0","3.0","0.0","0.0","0.0","0.0","67.0","7.0","0.0","0.0","2"
"0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2"
"142.0","31.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","2"
"0.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","3.0","2"
"1.0","3.0","0.0","0.0","0.0","0.0","355.0","16.0","0.0","0.0","4"
"9.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0","34.0","4.0","2"
"0.0","13.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2"
"178.0","9.0","0.0","0.0","0.0","0.0","42.0","1.0","0.0","0.0","2"
"243.0","9.0","28.0","9.0","0.0","0.0","0.0","0.0","0.0","0.0","4"
"0.0","13.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2"
"18.0","11.0","0.0","0.0","113.0","7.0","0.0","0.0","0.0","0.0","2"
"27.0","5.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","7.0","2"
"7.0","4.0","0.0","0.0","0.0","0.0","12.0","2.0","0.0","0.0","2"
"166.0","15.0","0.0","0.0","0.0","0.0","8.0","3.0","196.0","30.0","2"
"127.0","19.0","0.0","0.0","61.0","5.0","13.0","3.0","0.0","0.0","2"
"40.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","13.0","4.0","2"
"0.0","20.0","0.0","0.0","696.0","23.0","0.0","0.0","0.0","0.0","4"
"1.0","16.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","2"
